id;start_date;end_date;language
1;2019-11-04T14:49:01;2019-11-04T07:57:18;SPANISH
2;2019-11-04T16:19:06;2019-11-04T01:25:17;SPANISH
3;2019-11-04T11:51:11;2019-11-04T03:15:11;ENGLISH
4;2019-11-04T01:03:02;2019-11-04T08:30:04;ENGLISH
5;2019-11-04T10:01:41;2019-11-04T14:45:50;FRENCH
6;2019-11-04T16:18:42;2019-11-04T17:35:38;FRENCH
7;2019-11-04T01:41:02;2019-11-04T14:21:49;SPANISH
8;2019-11-03T23:12:20;2019-11-04T07:12:29;SPANISH
9;2019-11-04T09:00:27;2019-11-04T17:25:05;FRENCH
10;2019-11-04T12:18:36;2019-11-04T09:34:51;ENGLISH
